Hato	Lote	Grupo	Ubicación	ID	Referencia	Color	Raza	Sexo/ tipo	Padre	Madre gen.	Madre 	Edad	Estado	Nacimiento	Peso nacim.	Destete	Peso destete	kg/d destete	Fecha ultimo peso	Ultimo peso	kg/d dest/últ	kg/d nac./últ.	Entrada	Origen	Peso entrada	Valor entrada	Salida	Destino	Peso salida	Valor salida	kg ganados	$ ganados	kg/d	$/d	Int. entre partos	No. crías	kg.prom. nacim.	kg dest. (vida)	Valor prom. destete	kg/d al destete /IEP	$/d  al destete	Leche lact. (vida)	Leche 305d (vida)	Leche vida vs.hato	Prot. vida vs.hato	Grasa vida vs.hato	Leche /día/IEP	Prot /día	Grasa /día	Costo /día	P	Ult. parto	1er. celo	Ult. celo	Toro programado	1er ser	# ser	Ult. servicio	Toro últ.serv.	Dias serv	Ult. diag. preñez	Ult. resultado	Preñada del toro	Concepción	Días preñez	No. crías	Destete	kg dest.	$ dest.	Secado	Leche lactan.	Leche 305d	Prot. lac. kg	Prot. 305d  kg	Grasa lact. kg	Grasa 305d kg	Lt  Lact. vs.hato	Prot. lac vs hato	Grasa lac. vs hato	Costo eventos	Prot.% prom	Grasa% prom	Lac.% prom	CSS'000 prom	Fecha últ. leche	Ult. leche	%últ. prot.	%últ. grasa	%últ. lacto.	Ult. CCS '000	Próximo parto 	Nombre	Numero	Registro	Id. Electrónica	Nombre largo	Retiro leche hasta	Retiro carne hasta	Cría (este parto)	AM	PM	TOTAL	Fecha inicio lactoinducción	Comentarios	Mes últ. parto	Mes prox. parto	Estado fertilidad	Estado lactancia	Toro últ. parto	Edad 1er. parto	Peso 1er. parto	Inicio servicio	Ult. TE	Donadora	Ult. aborto	No. abo (vida)	Tercio lactancia	Días al pico	Prod. al pico	Leche acumulada	Leche/día acum.	Leche/ día vida	Conc./ día 	Conc. acumulado	Conc./leche actual	Conc./leche acumulado	Días secos (actual)	Prom. días secos	Kg/día 	kg/día desde entrada	Ult. cond. corporal	Cond. corp.	Abuelo materno	Leche lact. madre	Leche 305d madre	Leche vrs. hato 	kg/dia al destete 	kg/día dest (vida)	Reg. leche	Life high SCC	Curr. high SCC	Mast. vida	Mast. act.	Cojera vida	Cojera act.	Prom part -conc.	Vida serv-concep.	Prog. Novillas	Prog. vacas	Prog. machos
RC		CF		456                 			HO	He:Rp	REGINALD	4139	4139	5m	Nc	25/11/2020	31.0	26/11/2020...1	33.0	2.000	9/04/2021.135	120.0	0.649	0.659							120.0		120.0																				 0						0																																			456	456																			8/01/2022																	0.676	0.889				2'430	2'430	159%														
RC		CF		457                 			HO	He:Rp	105	2425	2425	5m	Nc	25/11/2020	43.0	26/11/2020...1	43.4	0.432	9/04/2021.135	158.0	0.855	0.852							158.0		158.0																				 0						0																																			457	457																			8/01/2022																	1.000	1.170			94	5'083	5'529	96%														
RC		CF		458                 			HO	He:Rp	104	2447	2447	4m	Nc	28/11/2020	36.0	29/11/2020...1	36.5	0.537	9/04/2021.132	151.0	0.874	0.871							151.0		151.0																				 0						0																																			458	458																			11/01/2022																	0.865	1.144			90	5'478	5'717	106%														
RC		CF		460                 			HO	He:Rp	109	2770	2770	4m	Nc	30/11/2020	31.0	1/12/2020.....1	31.1	0.128	9/04/2021.130	118.0	0.673	0.669							118.0		118.0																				 0						0																																			460	460																			13/01/2022																	0.784	0.908			6	0	5'090	108%														
RC		CF		461                 			HO	He:Rp	106	2495	2495	4m	Nc	3/12/2020	40.0	4/12/2020.....1	40.4	0.417	9/04/2021.127	172.0	1.044	1.039							172.0		172.0																				 0						0																																			461	461																			16/01/2022																	1.243	1.354			91	4'067	5'254	106%														
RC		CF		462                 			HO	He:Rp	109	2783	2783	4m	Nc	3/12/2020	37.0	4/12/2020.....1	37.3	0.333	9/04/2021.127	116.0	0.624	0.622							116.0		116.0																				 0						0																																			462	462																			16/01/2022																	0.865	0.913			6	0	5'593	116%														
RC		CF		463                 			HO	He:Rp	108	1900	1900	4m	Nc	1/12/2020	41.0	2/12/2020.....1	41.5	0.474	9/04/2021.129	157.0	0.903	0.899							157.0		157.0																				 0						0																																			463	463																			14/01/2022																	0.838	1.217			66	7'848	7'074	121%														
RC		CF		464                 			HO	He:Rp	108	2340	2340	4m	Nc	1/12/2020	40.0	2/12/2020.....1	40.3	0.342	9/04/2021.129	149.0	0.849	0.845							149.0		149.0																				 0						0																																			464	464																			14/01/2022																	1.081	1.155			85	6'711	6'352	112%														
RC		CF		465                 			HO	He:Rp	104	2637	2637	4m	Nc	5/12/2020	48.0	6/12/2020.....1	48.3	0.294	9/04/2021.125	156.0	0.869	0.864							156.0		156.0																				 0						0																																			465	465																			18/01/2022																	1.000	1.248			96	5'324	5'362	102%														
RC		CF		466                 			HO	He:Rp	108	2266	2266	4m	Nc	6/12/2020	40.0	7/12/2020.....1	40.5	0.515	9/04/2021.124	154.0	0.923	0.919							154.0		154.0																				 0						0																																			466	466																			19/01/2022																	1.027	1.242			85	4'947	5'036	89%														
RC		CF		468                 			HO	He:Rp	106	4087	4087	4m	Nc	7/12/2020	41.0	8/12/2020.....1	41.8	0.844	9/04/2021.123	96.0	0.444	0.447							96.0		96.0																				 0						0																																			468	468																			20/01/2022																	0.541	0.780			98	5'198	6'001	107%														
RC		CF		469                 			HO	He:Rp	106	2649	2649	4m	Nc	9/12/2020	36.0	10/12/2020...1	36.4	0.400	9/04/2021.121	148.0	0.930	0.926							148.0		148.0																				 0						0																																			469	469																			22/01/2022																	1.027	1.223			93	5'747	6'752	125%														
RC		CF		470                 			HO	He:Rp	109	2769	2769	4m	Nc	9/12/2020	31.0	10/12/2020...1	31.3	0.300	9/04/2021.121	98.0	0.556	0.554							98.0		98.0																				 0						0																																			470	470																			22/01/2022																	0.811	0.810			6	0	5'502	111%														
RC		CF		471                 			HO	He:Rp	110	2164	2164	4m	Nc	10/12/2020	46.0	11/12/2020...1	46.2	0.241	9/04/2021.120	144.0	0.822	0.817							144.0		144.0																				 0						0																																			471	471																			23/01/2022																	1.108	1.200			85	7'635	6'463	115%														
RC		CF		472                 			HO	He:Rp	109	2768	2768	4m	Nc	11/12/2020	39.0	12/12/2020...1	39.2	0.250	9/04/2021.119	134.0	0.803	0.798							134.0		134.0																				 0						0																																			472	472																			24/01/2022																	1.054	1.126			6	0	4'583	97%														
RC		CF		473                 			HO	He:Rp	20	4122	4122	4m	Nc	14/12/2020	39.0	15/12/2020...1	39.3	0.280	9/04/2021.116	138.0	0.858	0.853							138.0		138.0																				 0						0																																			473	473																			27/01/2022																	1.162	1.190			98	8'412	7'270	131%														
RC		CF		474                 			HO	He:Rp	109	16	16	4m	Nc	16/12/2020	36.0	17/12/2020...1	36.3	0.304	9/04/2021.114	126.0	0.794	0.789							126.0		126.0																				 0						0																																			474	474																			29/01/2022																	0.919	1.105			9	0	6'095	123%														
RC		CF		476                 			HO(92%) x JE(8%)	He:Rp	104	4089	4089	4m	Nc	19/12/2020	40.0	20/12/2020...1	40.2	0.200	9/04/2021.111	123.0	0.753	0.748							123.0		123.0																				 0						0																																			476	476																			1/02/2022																	1.000	1.108			98	2'760	2'760	68%														
RC		CF		477                 			HO	He:Rp	106	4070	4070	4m	Nc	24/12/2020	39.0	25/12/2020...1	38.6	-0.400	9/04/2021.106	125.0	0.823	0.811							125.0		125.0																				 0						0																																			477	477																			6/02/2022																	1.108	1.179			66	5'399	6'210	101%														
RC		CF		478                 			HO(75%) x JE(25%)	He:Rp	104	4056	4056	4m	Nc	25/12/2020	35.0	26/12/2020...1	34.9	-0.143	9/04/2021.105	102.0	0.646	0.638							102.0		102.0																				 0						0																																			478	478																			7/02/2022																	1.081	0.971			DOMINAND-RED	5'693	6'802	121%														
RC		CF		479                 			HO	He:Rp	104	4062	4062	3m	Nc	26/12/2020	45.0	27/12/2020...1	44.6	-0.385	9/04/2021.104	132.0	0.848	0.837							132.0		132.0																				 0						0																																			479	479																			8/02/2022																	1.405	1.269			DOMINAND-RED	6'204	6'056	111%														
RC		CF		480                 			HO	He:Rp	109	06	06	3m	Nc	28/12/2020	32.0	29/12/2020...1	31.9	-0.091	9/04/2021.102	98.0	0.654	0.647							98.0		98.0																				 0						0																																			480	480																			10/02/2022																	1.000	0.961			6	0	5'102	114%														
RC		CF		481                 			HO	He:Rp	106	2602	2602	3m	Nc	28/12/2020	34.0	29/12/2020...1	34.7	0.727	9/04/2021.102	71.0	0.359	0.363							71.0		71.0																				 0						0																																			481	481																			10/02/2022																	-0.027	0.696			90	6'146	7'499	130%														
RC		CF		482                 			HO	He:Rp	106	2568	2568	3m	Nc	9/01/2021	38.0	10/01/2021...1	38.3	0.269	9/04/2021...90	108.0	0.783	0.778							108.0		108.0																				 0						0																																			482	482																			22/02/2022																	1.270	1.200			85	4'886	6'229	108%														
RC		CF		484                 			HO	He:Rp	106	4050	4050	3m	Nc	12/01/2021	39.0	13/01/2021...1	39.3	0.261	9/04/2021...87	107.0	0.788	0.782							107.0		107.0																				 0						0																																			484	484																			25/02/2022																	1.108	1.230				5'554	5'883	105%														
RC		CF		485                 			HO	He:Rp	104	4088	4088	3m	Nc	5/01/2021	40.0	6/01/2021.....1	40.3	0.300	9/04/2021...94	110.0	0.749	0.745							110.0		110.0																				 0						0																																			485	485																			18/02/2022																	1.135	1.170			98	5'757	6'712	119%														
RC		CF		486                 			HO	He:Rp	108	2367	2367	3m	Nc	8/01/2021	38.0	9/01/2021.....1	38.6	0.593	9/04/2021...91	118.0	0.882	0.879							118.0		118.0																				 0						0																																			486	486																			21/02/2022																	1.297	1.297			90	6'494	6'225	108%														
RC		CF		487                 			HO	He:Rp	104	4057	4057	3m	Nc	11/01/2021	37.0	12/01/2021...1	37.2	0.167	9/04/2021...88	92.0	0.630	0.625							92.0		92.0																				 0						0																																			487	487																			24/02/2022																	1.027	1.045			DOMINAND-RED	5'026	5'539	97%														
RC		CF		488                 			HO	He:Rp	BYWAY	4140	4140	3m	Nc	17/01/2021	33.0	18/01/2021...1	33.2	0.222	9/04/2021...82	92.0	0.726	0.720							92.0		92.0																				 0						0																																			488	488																			2/03/2022																	1.054	1.122				0	4'401	96%														
RC		CF		489                 			HO	He:Rp	106	4002	4002	3m	Nc	20/01/2021	34.0	21/01/2021...1	34.1	0.067	9/04/2021...79	99.0	0.832	0.823							99.0		99.0																				 0						0																																			489	489																			5/03/2022																	1.243	1.253				8'528	7'938	135%														
RC		CF		490                 			HO	He:Rp	109	44	44	3m	Nc	20/01/2021	27.0	21/01/2021...1	27.1	0.067	9/04/2021...79	61.0	0.435	0.430							61.0		61.0																				 0						0																																			490	490																			5/03/2022																	0.730	0.772			97	0	4'366	91%														
RC		CF		491                 			HO	He:Rp	104	4076	4076	3m	Nc	21/01/2021	43.0	22/01/2021...1	43.1	0.071	9/04/2021...78	102.0	0.765	0.756							102.0		102.0																				 0						0																																			491	491																			6/03/2022																	1.081	1.308			98	6'182	6'412	111%														
RC		CF		492                 			HO(75%) x GY(25%)	He:Rp	111	2391	2391	3m	Nc	23/01/2021	33.0	24/01/2021...1	33.2	0.250	9/04/2021...76	81.0	0.637	0.632							81.0		81.0																				 0						0																																			492	492																			8/03/2022																	0.946	1.066			1	6'648	6'770	112%														
RC		CF		493                 			HO	He:Rp	108	2614	2614	3m	Nc	21/01/2021	40.0	22/01/2021...1	40.1	0.071	9/04/2021...78	95.0	0.713	0.705							95.0		95.0																				 0						0																																			493	493																			6/03/2022																	1.135	1.218			91	6'984	7'086	130%														
RC		CF		494                 			HO	He:Rp	110	2459	2459	3m	Nc	21/01/2021	26.0	22/01/2021...1	26.1	0.071	9/04/2021...78	54.0	0.363	0.359							54.0		54.0																				 0						0																																			494	494																			6/03/2022																	0.514	0.692			95	5'598	6'533	112%														
RC		CF		495                 			HO	He:Rp	106	2312	2312	3m	Nc	24/01/2021	40.0	25/01/2021...1	40.0		9/04/2021...75	95.0	0.743	0.733							95.0		95.0																				 0						0																																			495	495																			9/03/2022																	1.135	1.267			88	5'353	5'791	97%														
RC		CF		496                 			HO	He:Rp	108	1707	1707	2m	Nc	27/01/2021	35.0	28/01/2021...1	35.4	0.375	9/04/2021...72	64.0	0.403	0.403							64.0		64.0																				 0						0																																			496	496																			12/03/2022																	0.622	0.889			45	6'274	6'102	102%														
RC		CF		497                 			HO	He:Rp	110	1634	1634	2m	Nc	3/02/2021	37.0	4/02/2021.....1	37.2	0.179	9/04/2021...65	69.0	0.497	0.492							69.0		69.0																				 0						0																																			497	497																			19/03/2022																	0.730	1.062			68	5'492	5'300	90%														
RC		CF		498                 			HO	He:Rp	109	56	56	2m	Nc	7/02/2021	33.0	8/02/2021.....1	33.3	0.333	9/04/2021...61	71.0	0.628	0.623							71.0		71.0																				 0						0																																			498	498																			23/03/2022																	0.811	1.164			98	0	5'332	111%														
RC		CF		499                 			HO	He:Rp	17	2615	2615	2m	Nc	6/02/2021	35.0	7/02/2021.....1	35.0	-0.040	9/04/2021...62	59.0	0.394	0.387							59.0		59.0																				 0						0																																			499	499																			22/03/2022																	0.676	0.952			91	6'057	5'829	110%														
RC		CF		500                 			HO	He:Rp	109	13	13	2m	Nc	9/02/2021	30.0	10/02/2021...1	30.6	0.636	9/04/2021...59	61.0	0.524	0.525							61.0		61.0																				 0						0																																			500	500																			25/03/2022																	0.459	1.034			9	0	7'727	133%														
RC		CF		503                 			HO	He:Rp	112	2548	2548	2m	Nc	20/02/2021	40.0	21/02/2021...1	40.2	0.182	9/04/2021...48	60.0	0.422	0.417							60.0		60.0																				 0						0																																			503	503																			5/04/2022																	0.486	1.250			90	6'031	6'156	113%														
RC		CF		506                 			HO	He:Rp	108	2660	2660	2m	Nc	21/02/2021	34.0	22/02/2021...1	34.1	0.100	9/04/2021...47	63.0	0.628	0.617							63.0		63.0																				 0						0																																			506	506																			6/04/2022																	0.757	1.340			2	5'011	5'214	93%														
RC		CF		507                 			HO	He:Rp	109	52	52	2m	Nc	22/02/2021	36.0	23/02/2021...1	36.2	0.222	9/04/2021...46	55.0	0.417	0.413							55.0		55.0																				 0						0																																			507	507																			7/04/2022																	0.459	1.196			98	0	5'240	109%														
RC		CF		508                 			HO	He:Rp	110	1788B	1788B	55d	Nc	1/03/2021	35.0	2/03/2021.....1	36.5	1.500	9/04/2021...39	59.0	0.592	0.615							65.0		65.0		1.354																		 0						0																																			508	508																			14/04/2022																	0.568	1.513			AVOUS	6'540	6'395	108%														
RC		CF		509                 			HO	He:Rp	17	2446	2446	55d	Nc	1/03/2021	35.0	2/03/2021.....1	31.5	-3.500	9/04/2021...39	47.0	0.408	0.308							47.0		47.0																				 0						0																																			509	509																			14/04/2022																	0.514	1.205			88	5'023	4'283	82%														
RC		CF		510                 			HO	He:Rp	110	1875	1875	52d	Nc	4/03/2021	45.0	5/03/2021.....1	45.5	0.500	9/04/2021...36	63.0	0.500	0.500							63.0		63.0																				 0						0																																			510	510																			17/04/2022																	0.500	1.750			75	4'805	4'897	83%														
RC		CF		511                 			HO	He:Rp	110	1875	1875	52d	Nc	4/03/2021	26.0	5/03/2021.....1	26.2	0.167	9/04/2021...36	32.0	0.167	0.167							32.0		32.0																				 0						0																																			511	511																			17/04/2022																	0.167	0.889			75	4'805	4'897	83%														
RC		CF		512                 			HO	He:Rp	112	2442	2442	51d	Nc	5/03/2021	35.0	6/03/2021.....1	35.3	0.343	9/04/2021...35	47.0	0.343	0.343							47.0		47.0																				 0						0																																			512	512																			18/04/2022																		1.343			94	5'309	6'019	101%														
RC		CF		514                 			HO	He:Rp	111	2094	2094	43d	Nc	13/03/2021	35.0	14/03/2021...1	35.4	0.370	9/04/2021...27	45.0	0.370	0.370							45.0		45.0																				 0						0																																			514	514																			26/04/2022																		1.667			83	5'213	5'612	96%														
RC		CF		515                 			HO	He:Rp	110	6037	6037	45d	Nc	11/03/2021	35.0	12/03/2021...1	35.2	0.172	9/04/2021...29	40.0	0.172	0.172							40.0		40.0																				 0						0																																			515	515																			24/04/2022																		1.379			38	7'168	6'391	103%														
RC		CF		516                 			HO	He:Rp	5	40	40	36d	Nc	20/03/2021	35.0	21/03/2021...1	35.2	0.150	9/04/2021...20	38.0	0.150	0.150							38.0		38.0																				 0						0																																			516	516																			3/05/2022																		1.900			7	0	6'683	114%														
RC		CF		517                 			HO	He:Rp	110	1607	1607	34d	Nc	22/03/2021	35.0	23/03/2021...1	35.7	0.722	9/04/2021...18	48.0	0.722	0.722							48.0		48.0																				 0						0																																			517	517																			5/05/2022																		2.667			69	7'543	7'238	120%														
RC		CF		518                 			HO	He:Rp	5	30	30	33d	Nc	23/03/2021	35.0	24/03/2021...1	35.0		9/04/2021...17	35.0									35.0		35.0																				 0						0																																			518	518																			6/05/2022																		2.059			7	0	6'900	136%														
RC		CF		519                 			HO	He:Rp	104	2443	2443	32d	Nc	24/03/2021	35.0	25/03/2021...1	35.3	0.313	9/04/2021...16	40.0	0.313	0.313							40.0		40.0																				 0						0																																			519	519																			7/05/2022																		2.500			90	6'416	5'753	103%														
RC		CF		520                 			AY	He:Rp		4128	4128	27d	Nc	29/03/2021	35.0	30/03/2021...1	35.1	0.091	9/04/2021...11	36.0	0.091	0.091							36.0		36.0																				 0						0																																			520	520																			12/05/2022																		3.273			98	4'322	4'322	100%														
RC		CF		520                 			AY	He:Rp	98	4127	4127	27d	Nc	29/03/2021	35.0	30/03/2021...1	35.5	0.500											35.5		35.5																				 0						0																																			520	520																			12/05/2022																					98	0	4'194	84%														
RC		CF		521                 			HO	He:Rp	104	2465	2465	29d	Nc	27/03/2021	35.0	28/03/2021...1	35.7	0.692	9/04/2021...13	44.0	0.692	0.692							44.0		44.0																				 0						0																																			521	521																			10/05/2022																		3.385			95	7'142	7'438	128%														
RC		CF		522                 			HO	He:Rp	112	2066	2066	29d	Nc	27/03/2021	35.0	28/03/2021...1	35.3	0.308	9/04/2021...13	39.0	0.308	0.308							39.0		39.0																				 0						0																																			522	522																			10/05/2022																		3.000			69	7'316	5'971	106%														
RC		CF		523                 			HO	He:Rp	104	2472	2472	27d	Nc	29/03/2021	35.0	30/03/2021...1	35.5	0.455	9/04/2021...11	40.0	0.455	0.455							40.0		40.0																				 0						0																																			523	523																			12/05/2022																		3.636			89	6'529	5'661	103%														
RC		CF		524                 			HO(88%) x JE(13%)	He:Rp	104	2693	2693	26d	Nc	30/03/2021	36.0	31/03/2021...1	36.5	0.500	9/04/2021...10	41.0	0.500	0.500							41.0		41.0																				 0						0																																			524	524																			13/05/2022																	0.500	4.100			2	4'739	5'208	98%														
RC		CF		525                 			HO	He:Rp	104	4022	4022	28d	Nc	28/03/2021	32.0	29/03/2021...1	32.4	0.417	9/04/2021...12	37.0	0.417	0.417							37.0		37.0																				 0						0																																			525	525																			11/05/2022																	0.417	3.083				9'844	6'264	115%														
RC		CF		526                 			HO	He:Rp	111	2414	2414	26d	Nc	30/03/2021	35.0	31/03/2021...1	35.8	0.800	9/04/2021...10	43.0	0.800	0.800							43.0		43.0																				 0						0																																			526	526																			13/05/2022																		4.300			94	4'353	4'997	88%														
RC		CF		527                 			HO	He:Rp	112	2301	2301	25d	Nc	31/03/2021	35.0	1/04/2021.....1	35.3	0.333	9/04/2021.....9	38.0	0.333	0.333							38.0		38.0																				 0						0																																			527	527																			14/05/2022																		4.222			66	5'090	5'601	95%														
RC		CF		528                 			HO	He:Rp	108	1534	1534	22d	Nc	3/04/2021	40.0	4/04/2021.....1	40.2	0.167	9/04/2021.....6	41.0	0.167	0.167							41.0		41.0																				 0						0																																			528	528																			17/05/2022																	0.167	6.833			66	6'259	6'071	101%														
RC		CF		529                 			HO	He:Rp	109	08	08	10d	Nc	15/04/2021	35.0	16/04/2021...1	35.5	0.500											37.0		37.0																				 0						0																																			529	529																			29/05/2022																					6	0	5'069	100%														
RC		CF		530                 			HO	He:Rp	111	2520	2520	9d	Nc	16/04/2021	35.0	17/04/2021...1	35.5	0.500											36.5		36.5																				 0						0																																			530	530																			30/05/2022																					96	8'258	5'813	109%														
RC		CF		531                 			HO(88%) x JE(13%)	He:Rp	PADEN SEX	2681	2681	8d	Nc	17/04/2021	35.0	18/04/2021...1	35.5	0.500											36.0		36.0																				 0						0																																			531	531																			31/05/2022																					2	5'687	6'402	119%														
RC		CF		532                 			HO	He:Rp	111	2697	2697	8d	Nc	17/04/2021	35.0	18/04/2021...1	35.5	0.500											36.0		36.0																				 0						0																																			532	532																			31/05/2022																					3	5'042	5'709	107%														
RC		CF		533                 			GY(50%) x HO(50%)	He:Rp	98	1514	1514	8d	Nc	17/04/2021	35.0	18/04/2021...1	35.5	0.500											36.5		36.5																				 0						0																																			533	533																			31/05/2022																					66	7'880	7'025	117%														
RC		R 3		1014                			HO	He:Rp	58	4164	4164	11a3m	Palp-/Lac	15/01/2010	35.0	16/01/2010...1	35.6	0.579	16/02/2011397	333.0	0.751	0.751							500.0		500.0		0.134		439	8	35.0	35.4	$90'000	0.081	$205	7'023	6'622	108%	100%	100%	15.2			$103	 8	13/12/2020133	27/01/2021.45	13/03/2021.90		6/02/2021...55	2	13/03/2021.90	119	43	21/04/2021129	Negativo O				1	14/12/2020...1	35.5			8'142	8'142					129%	100%	100%	$35'000					15/04/2021123	28.2						1014	1014	B	900113000056753				G1669(He:Rp)						2020/12 (diciembre)		Palp-	Lac	1	2a6m	493	2/12/2021					2 101-200	92	31.4	3'582	29.1	21.1	10.0	1'098	0.355	0.307		99					TOP-GUN	7'480	6'701	111%			166	1	0	3	0	0	0	147	2.1		2001	
ISLA		JCAL		1032                				He:Rp	53	7155	7155	11a1m	PR/Lac	28/02/2010	35.0	1/03/2010.....1	36.6	1.556	16/02/2011353	283.0	0.700	0.703							500.0		500.0		0.136		479	6	35.0	35.4	$52'868	0.074	$110	7'959	6'922	111%	100%	100%	15.2			$100	 7	20/10/2020187	15/12/2020.56	22/03/2021153		15/12/2020.56	4	22/03/2021153	103	34	21/04/2021183	Positivo	103	22/03/2021153	34		21/10/2020...1				7'158	5'464					84%	100%	100%	$24'000					15/04/2021177	18.0					29/12/2021435	1032	1032	B	991001000274107										2020/10 (octubre)	2021/12 (diciembre)	PR	Lac		2a7m	500	9/10/2021			24/02/2021	4	2 101-200	56	22.3	3'358	19.0	21.5	5.0	1'005	0.278	0.299		119					45	4'635	4'633	87%			156	0	0	1	0	0	0	196	3.4		2477	
RC		R 1		1036                			HO	He:Rp	98		MED GUERRA	11a7m	PR/Lac	10/09/2009	35.0	11/09/2009...1	35.5	0.500											500.0		500.0		0.118		384	9	40.9	43.1	$34'868	0.112	$91	7'730	7'632	124%	100%	100%	20.3			$73	 9	19/05/2020341	25/07/2020.67	23/01/2021249		25/07/2020.67	4	23/01/2021249	103	92	7/04/2021.323	Cargada	103	23/01/2021249	92	1	20/05/2020...1	46.8		2/09/2021.471	10'624	7'935					125%	100%	100%	$44'156					15/04/2021331	17.3					1/11/2021.531	1036	1036		991001000273888				353(He:Rp)						2020/05 (mayo)	2021/11 (noviembre)	PR	Lac	27	2a8m	500	8/05/2021			13/01/2021	2	3 >200	25	35.6	8'454	25.5	25.6	5.0	2'484	0.289	0.294		64											180	1	0	4	0	0	0	104	1.4	174; 353		
RC		R 3		1045                			HO	He:Rp	53	607	607	11a2m	Palp-/Lac	25/02/2010	35.0	26/02/2010...1	35.9	0.917	3/11/20172808	840.0	0.286	0.287							500.0		500.0		0.140		426	7	34.9	35.3	$105'000	0.083	$246	7'310	6'709	108%	100%	100%	15.8			$118	 7	26/04/2020364	9/07/2020...74	18/03/2021326		25/07/2020.90	6	18/03/2021326	80	38	21/04/2021360	Negativo				1	27/04/2020...1	34.0			6'628	5'816					95%	100%	100%	$34'000					15/04/2021354	14.2						1045	1045	B	991001000274108				339(He:Rp)						2020/04 (abril)		Palp-	Lac	17	3a1m	500	15/04/2021			24/02/2021	3	3 >200	48	24.6	6'643	18.8	21.3	3.0	1'852	0.211	0.279		90					OUTSIDE	6'784	5'251	89%			155	0	0	9	0	0	0	140	2.9	339		
RC		HOR.1		1049                			HO	He:Rp	98		MED GUERRA	11a3m	Ca/Horra	31/12/2009	35.0	1/01/2010.....1	35.5	0.500											500.0		500.0		0.139		502	7	35.0	35.5	$100'000	0.071	$199	9'517	7'651	125%	100%	100%	18.0			$108	 7	2/03/2020419	2/05/2020...61	11/02/2021346		2/05/2020...61	8	8/01/2021.312	80	107	10/02/2021345	Negativo				1	3/03/2020.....1			15/02/2021350	7'513	6'774					108%	100%	100%	$56'475					15/02/2021350	15.3						1049	1049		991001000273890				M-1049-7(Ma:Rp)						2020/03 (marzo)		Ca	Horra	1	1a11m	387	19/02/2021			7/01/2021	2	3 >200	49	31.7	7'513	21.5	22.6	0.0	2'330	0.000	0.310		69											196	1	0	2	0	0	0	215	3.4			
RC		HOR.1		1055                			HO	He:Rp	98	JOSE PRIETO			PR/Horra		35.0				10/03/2020	673.0															471	2	35.0	35.5	$89'518	0.075	$190	6'216	5'151	93%	100%	100%	13.2			$99	 3	28/04/2020362	18/06/2020.51	15/08/2020109		18/06/2020.51	3	15/08/2020109	116	253	21/10/2020176	Cargada He	116	15/08/2020109	253	1	29/04/2020...1	35.5	$142'369	28/02/2021306	6'193	6'168					97%	100%	100%						1/03/2021.307	12.6					24/05/2021391	4507	1055						G1649(He:Rp)						2020/04 (abril)	2021/05 (mayo)	PR	Horra	101			17/04/2021				1	3 >200	46	26.5	6'194	20.2	16.3	0.0	1'690	0.000	0.273	85	89											64	1	0	1	0	0	0	189	3.3			
RC		HOR.1		1070                			HO	He:Rp	98	JORGE PRIETO	JORGE PRIETO		PR/Horra		35.0																				406	3	35.0	35.5	$105'505	0.087	$260	5'112	5'393	95%	100%	100%				$123'600	 8	31/01/2020450	16/05/2020106	5/09/2020.218		16/05/2020106	5	5/09/2020.218	102	232	2/12/2020.306	Cargada He	102	5/09/2020.218	232	1	1/02/2020.....1	35.5	$101'010	15/10/2020258	4'327	4'327					78%	100%	100%	$32'000					15/10/2020258	7.0					14/06/2021500	1070	1070						M-1070-8(Ma:Rp)						2020/01 (enero)	2021/06 (junio)	PR	Horra	93			19/01/2021					3 >200	28	24.4	4'327	16.8	18.7	0.0	1'214	0.000	0.281	242	137											55	0	0	0	0	0	0	127	1.8			
RC		HOR.1		1071                				He:Rp	58	6023	6023	11a0m	Desc./Horra	28/03/2010	35.0	29/03/2010...1	35.5	0.500	13/01/2011291	245.0	0.722	0.722							500.0		500.0		0.128		498	5	35.0	35.4	$105'556	0.071	$212	6'073	5'414	94%	100%	100%	11.8			$84	 6	28/05/2020332	4/09/2020...99	17/11/2020173		4/09/2020...99	4	17/11/2020173	80	159	16/12/2020202	Negativo					29/05/2020...1			31/12/2020217	2'453	2'453					49%	100%	100%	$41'500					30/12/2020216	6.6						1071	1071		991001000273892										2020/05 (mayo)		Desc.	Horra		3a4m	500	17/05/2021				1	3 >200	48	15.8	2'454	11.4	17.9	0.0	495	0.000	0.202		133						6'766	6'470	109%			133	1	0	3	0	0	0	211	6.5		2023	
RC		R 3		1080                			HO	He:Rp	98	JORGE PRIETO	JORGE PRIETO		Nc/Lac		35.0																				523	2	35.0	35.5	$110'000	0.068	$210	7'020	6'370	103%	100%	100%	7.6			$49	 4	19/03/202137					0									1	20/03/2021...1	35.5			8'373	8'373					124%	100%	100%						15/04/2021.27	29.9						4247-6	1080		900115000827465				M-1080-4(Ma:Rp)						2021/03 (marzo)		Nc	Lac	102			8/03/2022				2	1 0-100	27	29.9	725	26.8	17.6	10.0	189	0.334	0.261		155											53	1	0	0	0	0	0	238	4.0			
